,spc_common,tree_dbh,stump_diam,status,health,problems,problems,root_stone,root_grate,root_other,nta,latitude,longitude
86124,pine,1,0,Alive,Good,None,None,No,No,No,QN20,40.71088769,-73.91614579
86571,red pine,11,0,Alive,Good,None,None,No,No,No,QN27,40.76940149,-73.87529614
86618,white pine,22,0,Alive,Good,None,None,No,No,No,QN08,40.68570147,-73.75248368
86964,white pine,18,0,Alive,Good,BranchLights,BranchLights,No,No,No,QN07,40.70954665,-73.76191973
87723,pine,8,0,Alive,Good,None,None,No,No,No,QN46,40.76861618,-73.77882373
88235,pine,7,0,Alive,Good,None,None,No,No,No,QN35,40.71421482,-73.79987112
89001,pine,7,0,Alive,Fair,None,None,No,No,No,QN45,40.75329125,-73.73760933
90160,white pine,32,0,Alive,Fair,Stones,Stones,Yes,No,No,QN45,40.77161965,-73.74243414
91902,pine,21,0,Alive,Poor,None,None,No,No,No,SI36,40.59880808,-74.08718062
92702,pine,5,0,Alive,Good,None,None,No,No,No,QN41,40.73182749,-73.78853474
94353,pine,4,0,Alive,Good,None,None,No,No,No,QN50,40.73835883,-73.89865667
95203,pine,1,0,Alive,Good,None,None,No,No,No,QN06,40.71712252,-73.78152094
95258,pine,8,0,Alive,Good,None,None,No,No,No,BK88,40.63142782,-73.99060143
95615,pine,4,0,Alive,Good,None,None,No,No,No,QN15,40.59511856,-73.75144457
95801,white pine,8,0,Alive,Good,None,None,No,No,No,QN31,40.73058233,-73.92225028
95952,pine,2,0,Alive,Good,None,None,No,No,No,BK60,40.66013807,-73.93778016
96489,pine,2,0,Alive,Good,None,None,No,No,No,QN76,40.67214356,-73.79980836
97805,red pine,6,0,Alive,Good,None,None,No,No,No,SI01,40.5482341,-74.178582
98218,white pine,13,0,Alive,Good,None,None,No,No,No,QN29,40.73192876,-73.8796099
99463,pine,4,0,Alive,Good,WiresRopeBranchLights,WiresRopeBranchLights,No,No,No,QN35,40.70876041,-73.80389297
99609,pine,2,0,Alive,Good,None,None,No,No,No,BX52,40.84137757,-73.83255826
101942,red pine,4,0,Alive,Good,None,None,No,No,No,BK82,40.66318679,-73.87782039
102248,white pine,5,0,Alive,Good,BranchOther,BranchOther,No,No,No,QN17,40.71829061,-73.85121577
102421,pine,3,0,Alive,Good,None,None,No,No,No,SI07,40.61167666,-74.13673343
103039,white pine,4,0,Alive,Fair,Stones,Stones,Yes,No,No,BX05,40.86950555,-73.88823258
103902,black pine,7,0,Alive,Fair,BranchOther,BranchOther,No,No,No,QN23,40.76944594,-73.84241245
105881,pine,12,0,Alive,Good,None,None,No,No,No,QN49,40.79963347,-73.82044325
106783,white pine,18,0,Alive,Poor,TrunkOtherBranchOther,TrunkOtherBranchOther,No,No,No,QN25,40.74509824,-73.85374637
108682,white pine,18,0,Alive,Good,None,None,No,No,No,SI11,40.52410256,-74.22950015
109563,white pine,24,0,Alive,Good,Stones,Stones,Yes,No,No,QN45,40.76908728,-73.74163366
110287,red pine,5,0,Alive,Good,None,None,No,No,No,SI11,40.50020975,-74.2428497
111076,pine,3,0,Alive,Good,None,None,No,No,No,QN15,40.59511846,-73.75142981
111359,pitch pine,8,0,Alive,Good,None,None,No,No,No,BK40,40.64850982,-73.97474311
113612,Scots pine,1,0,Alive,Good,None,None,No,No,No,QN20,40.7044875,-73.89157305
114293,pine,2,0,Alive,Good,None,None,No,No,No,BK88,40.6322208,-73.9875885
114340,white pine,12,0,Alive,Good,None,None,No,No,No,QN17,40.71139075,-73.84487321
114597,white pine,20,0,Alive,Poor,RootOtherTrunkOtherBranchOther,RootOtherTrunkOtherBranchOther,No,No,Yes,QN45,40.77185525,-73.74252573
115468,white pine,3,0,Alive,Good,None,None,No,No,No,QN46,40.7750524,-73.77590439
117155,Scots pine,5,0,Alive,Good,None,None,No,No,No,QN49,40.79117095,-73.82791748
118834,pine,5,0,Alive,Good,None,None,No,No,No,BK88,40.63930931,-73.99134705
119861,pine,2,0,Alive,Good,None,None,No,No,No,SI05,40.60143767,-74.1215833
121367,white pine,29,0,Alive,Good,None,None,No,No,No,QN45,40.77285208,-73.74202998
121772,white pine,5,0,Alive,Good,None,None,No,No,No,BX52,40.82855456,-73.82200133
123654,pine,3,0,Alive,Good,None,None,No,No,No,SI07,40.61152331,-74.13674731
124506,pine,5,0,Alive,Good,None,None,No,No,No,QN49,40.79607045,-73.81633097
124970,pine,8,0,Alive,Fair,None,None,No,No,No,QN45,40.7532892,-73.73763227
125162,white pine,6,0,Alive,Good,None,None,No,No,No,SI25,40.55888338,-74.13538729
125208,Scots pine,9,0,Alive,Good,None,None,No,No,No,BK42,40.6341774,-73.95403504
125337,pine,8,0,Alive,Good,None,None,No,No,No,QN15,40.59510832,-73.75109756
